"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","숭인1동",등록외국인,322,10,8,4,5,48,55,36,31,24,25,31,27,12,5,1,0,0,0,0,0,0,332,10,7,4,6,57,57,37,29,22,24,33,28,13,4,1,-,-,-,-,-,-
"종로구","숭인2동",계,10540,96,106,127,211,1138,1733,1226,649,567,532,846,784,769,647,425,305,259,86,30,4,0,10692,100,105,125,211,1148,1800,1278,676,563,516,826,802,769,657,417,318,255,90,30,6,-
"종로구","숭인2동",한국인,9715,90,99,122,187,850,1508,1155,597,543,515,803,758,751,632,424,302,259,86,30,4,0,9821,95,99,119,174,845,1554,1212,624,538,500,782,774,751,642,416,315,255,90,30,6,-
"종로구","숭인2동",등록외국인,825,6,7,5,24,288,225,71,52,24,17,43,26,18,15,1,3,0,0,0,0,0,871,5,6,6,37,303,246,66,52,25,16,44,28,18,15,1,3,-,-,-,-,-
"종로구","청운효자동",계,11539,229,383,537,571,612,797,819,731,991,961,1047,887,799,621,477,437,360,196,65,16,3,11489,233,372,528,566,612,812,808,728,989,939,1049,881,794,633,481,427,349,205,63,17,3
"종로구","청운효자동",한국인,11391,223,380,533,565,608,780,813,714,971,938,1040,874,791,616,472,435,358,196,65,16,3,11349,227,369,524,560,608,794,803,709,972,919,1043,871,788,626,476,425,347,205,63,17,3
"종로구","청운효자동",등록외국인,148,6,3,4,6,4,17,6,17,20,23,7,13,8,5,5,2,2,0,0,0,0,140,6,3,4,6,4,18,5,19,17,20,6,10,6,7,5,2,2,-,-,-,-
"종로구","혜화동",계,19491,211,335,508,936,4279,2948,1397,863,1015,1003,1295,1045,959,778,530,558,466,250,90,19,6,19239,199,328,485,956,4163,2882,1404,872,972,986,1282,1056,954,788,519,558,472,253,89,15,6
"종로구","혜화동",한국인,16008,201,329,504,746,2241,2074,1209,800,978,987,1273,1035,942,773,530,556,466,250,89,19,6,15869,190,322,481,700,2195,2092,1227,812,940,972,1263,1046,937,783,519,556,472,253,88,15,6
"종로구","혜화동",등록외국인,3483,10,6,4,190,2038,874,188,63,37,16,22,10,17,5,0,2,0,0,1,0,0,3370,9,6,4,256,1968,790,177,60,32,14,19,10,17,5,-,2,-,-,1,-,-
